Word,Translation
تشتت,Disperse
مقصود,Intentional
شامية,Sham/Levant
انتخاب,Elections
جبه,Front
بعث,Baathist
أثر,Effect
حلول,Solutions
قتل,Killing
دمشق,Damascus
عدة,Weakness
عسكري,Military
قيادة,Leadership
قياد,Leadership
إقليم,Regional
قضية,Issue
ساعة,Time
لاذقية,Lattakia
لاذق,Lattakia
حمدلل,Praise God
حبل,In Faith (of god)
مين,Trustworthy
امتث,Compliance
مباركة,Blessed
مبارك,Blessed
لأمر,Order
باطل,Worthless
أعراض,Symptoms
محمد,Muhammad
تدمير,Destruction
مقاتلة,Fighting
إضافة,In addition
مناطق,Regions
حقيقة,Truth
أركان,Pillars
مساهمة,Input
مساهم,Input
تأكيد,To Ensure
سنو,Years
كافة,All
لقد,Imminent
مستضعف,The Vulnerable
عقيد,Doctrine
لإسقاط,Overthrow
تنمية,Prosperity
تنم,Prosperity
محافظة,Province
محافظ,Province
ينصر,To win
تعتبر,To consider
مراعاة,To take into consideration
حرمة,Sanctity
حضار,Civilization
إغاثية,Relief
ادلب,Idlib
غوطة,Ghouta
تفريط,To neglect
عناية,Attention
بسط,Extent
خلاف,Caliphate
دنيا,Worldly
عدو,Enemy
يوم,Day
هيية,Organization
هيية,Organization
هذا,This
مسلحة,Armed
مسلح,Armed
لان,Because
كتايب,Battalions
كان,Was
فصايل,Factions
على,On
ظلم,Injustice
صحب,Companion
تابعة,?
اولى,First
اهل,Community
اهداف,Goals
انصار,Supporters
امة,Ummah
اما,Safety
اعراض,Symptoms
اصحاب,Companions
اسلامية,Islamic
اسقاط,Fall
اسد,Assad
ارض,Land
اذن,Permission
اذا,If
اعداء,Enemy
انتم,You (pl)
مومن,Believer
ابرز,Supreme
ايما,Faith
احكام,Rule
امر,Order
نصير,Supporter
صدق,Trust
حمدب,Mohammad
يقاتل,To Kill 
مومنين,Believers
يجب,Must
نبي,Prophet? 
جمع,Community
اجل,todo
اكبر,Greatest
انتصار,Victorious
اعتمد,To Rely
اكثر,More
اسلحة,Armed
انسان,Human
قرية,Town
ايران,Iran
جرحى,Wounded? 
عسكريا,Military
مسمى,Title
كتاب,Book
حياة,Life
اول,First
لاسقاط,The Fall
اغاثية,Food
اغاث,Food
ارتقاء,Ascension
تحقيق,To Achieve
معارضة,Opposition 
معارض,Opposition 
تربوية,Education
تربو,Education
مرصوص,Pledged
انطلاقا,Proceeding
قدما,Ahead of? 
رييس,President
بضرورة,Necessary
تسيير,Management? 
اندماج,Integration
نظرا,Viewpoint
انسانية,Humanitarian
تحاق,To join
اغلب,Majority
حريت,Freedoms
موجودة,To be present
رغم,Despite
كانت,Was
رياسة,Feast? 
رياس,Feast? 
امنوا,Secure
صادق,Trust
كتل,Block
رابط,Association
اصلاح,Reform
ثان,Second
حرك,Movement
تعصب,Extremism
مشا,Mash(allah)
جديد,New
ابواب,Doors
امام,Imam/Front
اخر,Last
رييسا,? 
استقل,Resignation
معاهد,Institutes
شكلت,Forms 
انتخب,To Elect
تحقق,To Achieve
رلمان,Parliament
تقويت,To Strengthen 
عهد,Era
حمص,Homs
حرب,War
لاحق,Later
احمد,Ahmad
ابراهيم,Ibrahim
ملك,Monarch
نتيج,Result
اسع,Wide
برلمان,Parliament
قاد,Leadership
حكوم,Government
ام,Ummah
اسلامي,Islamic 
داخل,Internal / Domestic
قوى,Force
اجتماع,Social / meeting
طريق,Way
سياسي,Political
ايتلاف,Coalition
تكون,To form
حل,Solution
سلم,Peaceful
موسسات,Organizations
سبيل,Path
حكم,Rule
كاف,Enough
مدن,Cities
تاسيس,To Establish
اعلام,Information
عرب,Arab
دولي,International
سلط,Authority
فق,Fiqh
مرحل,Stage
كامل,Complete
ضمن,Inclusive
امن,Security
مجموع,Group
بلاد,Land
اجهز,Instrument
دعم,Support
مكونات,Components
دفاع,Defense
جميع,All
اخرى,Other
جه,Side
خاص,Specifically
بكل,Entirely 
ابناء,Sons
كرام,Dignity
ضرور,Necessary
الله,God
رب,God
سبيل,Path
طن,Nation
اقتصاد,Economy
انتقال,Transition
ممارس,Practice
ضمان,Security
استبداد,Repression
اساس,Basis
موسس,Foundation
تعدد,Pluralism
مساوا,Equality
مباد,Principle
نضال,Struggle
مكون,Component
عدال,Justice
مختلف,Different
موتمر,Conference
اطار,Framework
قمع,Repression
مواج,Confrontation
تنفيذ,Executive
مبدا,Principle
جود,Good
حقيق,Truth
مجال,Field
طايف,Sect(arian)
فكر,Idea
منظم,Organization
احزاب,Parties
دور,Role
جزء,Part
مشارك,Participants
عالم,Scientist
مشترك,Joint
مسوول,Responsible
حال,Situation
بحق,Rightly
ساح,Square
بيان,Statement
مشروع,Project
بد,Start
حيا,Life
مصلح,Interest
شامل,Complete
حد,One
اختلاف,Difference
مهما,Mission
موحد,Unity
شخص,Person
فرد,Individual
نفس,Same
بكاف,Sufficient
كبير,Great
خارج,Outside
مصالح,Interests 
تقدم,Progress
كثير,Many
ادار,Management
هدف,Goal
احرار,Free
قوم,National(ism)
سبيل,Path
افراد,Individuals
بلد,Country
وسايل,Instrument
قضاء,Judiciary
را,Opinion
حمل,Campaign
سبيل,Path 
مطالب,Demands
حديث,Modern
اقام,To Establish
بدا,Beginning
اب,Father
تال,The Following
رحيم,Merciful
يومن,To Believe
اهم,Important
عادل,Justice
اسس,Foundation
تقديم,To Submit
وجل,Almighty
